model_name,window_label,window_seconds,step_seconds,status,precision,recall,f1,roc_auc,average_precision,macro_precision,macro_recall,weighted_precision,weighted_recall,threshold,feature_count,seq_len,prediction_length,training_time_seconds,inference_time_seconds,inference_time_ms_per_prediction,validation_inference_time_seconds,parameter_count,model_size_bytes,mean_detection_latency_seconds,median_detection_latency_seconds,train_sequences,val_sequences,test_sequences,val_positive_sequences,test_positive_sequences,checkpoint_path,predictions_path,notes,evaluation_context,canonical_or_extension,improvement_pass_action,aoi_alert_overlap_index,generator_source,dataset_id,bundle_type,false_positive_rate,mean_latency_seconds,median_latency_seconds,evaluated_windows,attack_window_count,benign_window_count,detected_scenarios,scenario_count,accepted_scenario_count,metrics_path
ttm_extension,60s,60,12,completed,0.6341463414634146,0.8387096774193549,0.7222222222222222,0.9939301972685888,0.6785195412911948,0.8151618557469978,0.9136643986489794,0.9878579023615062,0.9851742031134172,0.4190650576688821,64.0,12.0,1.0,708.8701364999997,1.1757018000016617,0.8715358043007128,1.1502078999983496,8205.0,73377.0,706.6,625.0,3830.0,1286.0,1349.0,8.0,31.0,<repo>/outputs\phase1_ttm_extension\ttm_extension_checkpoint.pt,<repo>/outputs\phase1_ttm_extension\ttm_extension_predictions.parquet,Randomly initialized TinyTimeMixer forecast-error detector over canonical 60 s residual windows. Extension branch only; canonical transformer @ 60 s remains the benchmark winner.,canonical_benchmark_test_split_extension,extension,joined with AOI and heldout summary; no rerun because the existing TTM training run is real and took about 709 seconds,0.5652173913043478,,,,,,,,,,,,,
ttm_extension,5s,5,1,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s heldout synthetic sweep was blocked before any TTM extension run was possible.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,8.0,
ttm_extension,10s,10,2,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,8.0,
ttm_extension,60s,60,12,completed,0.4698795180722891,0.1449814126394052,0.2215909090909091,0.6833400900925121,0.1939746796182601,,,,,,,,,,,,,,,,,,,,,,,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c\60s\ttm_extension\predictions.parquet,Loaded from cached heldout synthetic evaluation artifact.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,existing_heldout_phase2_bundle,0.0063638993346832,1.0,1.0,7183.0,269.0,6914.0,8.0,10.0,8.0,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c\60s\ttm_extension\metrics.json
ttm_extension,300s,300,60,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,chatgpt,phase2_zero_day_like_bundle_2026_04_15_c,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,8.0,
ttm_extension,5s,5,1,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s heldout synthetic sweep was blocked before any TTM extension run was possible.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,claude,claude_phase2_llm_benchmark_v2,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,7.0,
ttm_extension,10s,10,2,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,claude,claude_phase2_llm_benchmark_v2,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,7.0,
ttm_extension,60s,60,12,completed,0.1746031746031746,0.2391304347826087,0.2018348623853211,0.7040541731450766,0.1128623273655995,,,,,,,,,,,,,,,,,,,,,,,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2\60s\ttm_extension\predictions.parquet,Loaded from cached heldout synthetic evaluation artifact.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,claude,claude_phase2_llm_benchmark_v2,existing_heldout_phase2_bundle,0.0451715650789054,1.0,1.0,7183.0,276.0,6907.0,7.0,10.0,7.0,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\claude__existing_heldout_phase2_bundle__claude_phase2_llm_benchmark_v2\60s\ttm_extension\metrics.json
ttm_extension,300s,300,60,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,claude,claude_phase2_llm_benchmark_v2,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,7.0,
ttm_extension,5s,5,1,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s heldout synthetic sweep was blocked before any TTM extension run was possible.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,gemini,phase2_llm_synthetic_benchmark_002,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,5.0,
ttm_extension,10s,10,2,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,gemini,phase2_llm_synthetic_benchmark_002,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,5.0,
ttm_extension,60s,60,12,completed,0.5833333333333334,0.160655737704918,0.2519280205655527,0.6893588014052884,0.2097182833059996,,,,,,,,,,,,,,,,,,,,,,,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002\60s\ttm_extension\predictions.parquet,Loaded from cached heldout synthetic evaluation artifact.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,gemini,phase2_llm_synthetic_benchmark_002,existing_heldout_phase2_bundle,0.0050886885722593,1.0,1.0,7183.0,305.0,6878.0,5.0,10.0,5.0,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\gemini__existing_heldout_phase2_bundle__phase2_llm_synthetic_benchmark_002\60s\ttm_extension\metrics.json
ttm_extension,300s,300,60,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,gemini,phase2_llm_synthetic_benchmark_002,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,5.0,
ttm_extension,5s,5,1,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s heldout synthetic sweep was blocked before any TTM extension run was possible.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,grok,phase2_llm_benchmark_grok_synthetic_03,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,9.0,
ttm_extension,10s,10,2,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,grok,phase2_llm_benchmark_grok_synthetic_03,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,9.0,
ttm_extension,60s,60,12,completed,0.6078431372549019,0.2,0.3009708737864077,0.6497744798486832,0.2530159601499379,,,,,,,,,,,,,,,,,,,,,,,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03\60s\ttm_extension\predictions.parquet,Loaded from cached heldout synthetic evaluation artifact.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,grok,phase2_llm_benchmark_grok_synthetic_03,existing_heldout_phase2_bundle,0.0058198748726902,1.0,1.0,7183.0,310.0,6873.0,9.0,10.0,9.0,<repo>/outputs\window_size_study\detector_window_zero_day_audit\zero_day_full_matrix\evaluations\grok__existing_heldout_phase2_bundle__phase2_llm_benchmark_grok_synthetic_03\60s\ttm_extension\metrics.json
ttm_extension,300s,300,60,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,grok,phase2_llm_benchmark_grok_synthetic_03,existing_heldout_phase2_bundle,,,,0.0,0.0,0.0,0.0,10.0,9.0,
ttm_extension,5s,5,1,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s heldout synthetic sweep was blocked before any TTM extension run was possible.,heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,human_authored,human_authored_phase3_bundle_v1,human_authored_heldout,,,,0.0,0.0,0.0,0.0,6.0,6.0,
ttm_extension,10s,10,2,not_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No saved TTM benchmark artifact exists for this window, so heldout synthetic inference was not run.",heldout_synthetic_zero_day_like,extension,existing heldout synthetic zero-day-like rows retained as extension evidence,,human_authored,human_authored_phase3_bundle_v1,human_authored_heldout,,,,0.0,0.0,0.0,0.0,6.0,6.0,
