phase,diagram_box,implementation_status,label_safety,safe_label,evidence_files,notes
Phase 1,Generate DER Grid Data,fully implemented,safe,Generate DER grid data,PHASE1_DATA_LINEAGE_AUDIT.md; outputs/clean/; outputs/attacked/,Raw canonical clean and attacked DER time-series artifacts are present.
Phase 1,"System Modeling IEEE 123 Bus + DER (PV, BESS)",fully implemented,safe,IEEE 123-bus DER system modeling,PHASE1_DATA_LINEAGE_AUDIT.md; outputs/clean/,Canonical pipeline uses the IEEE 123-bus DER simulation stack already present in the repository.
Phase 1,"Normal Data Generation OpenDSS Simulation (Voltage, Current, Power, SOC, Temp)",fully implemented,incomplete label,"OpenDSS normal-operation simulation with electrical, DER, and control observables",PHASE1_DATA_LINEAGE_AUDIT.md; outputs/window_size_study/window_dataset_summary.csv,"Implemented, but the original label omits feeder losses, control states, cyber counts, and derived residuals."
Phase 1,Data Preprocessing Cleaning + Feature Engineering,fully implemented,safe,"Data preprocessing, residualization, and feature engineering",PHASE1_DATA_LINEAGE_AUDIT.md; phase1_training_input_inventory.csv,"Windowing, residualization, metadata retention, feature selection, and split logic were verified."
Phase 1,"Baseline Models ML Models (LSTM, Autoencoder, Isolation Forest)",fully implemented,unsafe/incomplete label,"Benchmark model suite (Transformer, LSTM, GRU, Autoencoder, Isolation Forest, threshold, token baseline)",phase1_canonical_input_summary.md; outputs/window_size_study/*/reports/model_summary.csv,"The model suite exists, but the original label omits Transformer and GRU and can misread the autoencoder as an LSTM autoencoder."
Phase 1,LLM Analysis Context Learning of Normal Behavior,partially implemented,overclaiming,Optional context summaries for operator-facing interpretation,PHASE1_DATA_LINEAGE_AUDIT.md; outputs/reports/model_full_run_artifacts/,"Legacy context artifacts exist, but this is not part of the frozen canonical winner path."
Phase 1,"Model Evaluation Reconstruction Loss, Threshold (p99), Accuracy",partially implemented,unsafe/incomplete label,Benchmark evaluation with threshold calibration and detection metrics,outputs/window_size_study/final_window_comparison.csv; outputs/window_size_study/*/reports/,"Evaluation exists, but it is not universally reconstruction-loss-based and the benchmark emphasizes F1/AP/ROC rather than a single p99 accuracy label."
Phase 2,System Card Creation (Grid + Constraints + Physics Rules),partially implemented,incomplete evidence,Scenario design with grid-aware constraints and validator rules,phase2_scenario_master_inventory.csv; phase2_coverage_summary.md,"Constraint-aware scenario construction is evidenced indirectly through bundle structure and validator outputs, but no standalone explicit system-card artifact is present."
Phase 2,LLM Scenario Generator Synthetic Anomaly / Zero-day Style,fully implemented,overclaiming,LLM-generated synthetic heldout attack scenarios,phase2_scenario_master_inventory.csv; heldout_bundle_metrics.csv,"LLM-generated heldout bundles exist, but 'zero-day style' should not be inflated into real-world zero-day robustness."
Phase 2,Scenario JSON Library Structured Attack Definitions,fully implemented,safe,Structured scenario bundle library,phase2_scenario_master_inventory.csv; outputs/attacked/scenario_manifest.json,"Structured scenario definitions are present across canonical, heldout, repaired, and human-authored bundles."
