generator_source,window_label,window_seconds,model_name,attack_family,scenario_count,mean_precision,mean_recall,mean_f1,detection_rate,mean_latency_seconds
chatgpt,10s,10,autoencoder,command_delay,1,0.2105263157894736,0.1502347417840375,0.1753424657534246,1.0,1.0
claude,10s,10,autoencoder,command_delay,1,0.4337121212121212,0.9423868312757202,0.5940337224383917,1.0,1.0
grok,10s,10,autoencoder,command_delay,1,0.3606340819022457,1.0,0.5300970873786408,1.0,1.0
human_authored,10s,10,autoencoder,command_delay,1,0.3051575931232091,1.0,0.4676180021953897,1.0,1.0
chatgpt,10s,10,autoencoder,command_suppression,1,0.4439024390243902,1.0,0.6148648648648649,1.0,1.0
claude,10s,10,autoencoder,command_suppression,1,0.3112903225806451,0.5795795795795796,0.4050367261280168,1.0,1.0
gemini,10s,10,autoencoder,command_suppression,1,0.7878260869565218,1.0,0.8813229571984436,1.0,1.0
grok,10s,10,autoencoder,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
human_authored,10s,10,autoencoder,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
chatgpt,10s,10,autoencoder,coordinated_campaign,1,0.2869565217391304,1.0,0.4459459459459459,1.0,1.0
grok,10s,10,autoencoder,coordinated_campaign,1,0.2514522821576763,1.0,0.4018567639257294,1.0,1.0
human_authored,10s,10,autoencoder,coordinated_campaign,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
chatgpt,10s,10,autoencoder,degradation,1,0.1682600382409178,0.5751633986928104,0.2603550295857988,1.0,1.0
gemini,10s,10,autoencoder,degradation,2,0.43835037922316705,1.0,0.5742815322755179,1.0,1.0
grok,10s,10,autoencoder,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
human_authored,10s,10,autoencoder,degradation,1,0.164625850340136,0.4979423868312757,0.2474437627811861,1.0,1.0
chatgpt,10s,10,autoencoder,false_data_injection,2,0.11655405405405406,0.059402045633359504,0.07820312201824356,1.0,1.0
claude,10s,10,autoencoder,false_data_injection,4,0.15217539274143044,0.1258139936513657,0.11276627805610495,1.0,1.0
gemini,10s,10,autoencoder,false_data_injection,1,0.1777777777777777,0.0522875816993464,0.0808080808080808,1.0,1.0
grok,10s,10,autoencoder,false_data_injection,3,0.15790789927561225,0.6830601092896175,0.20971754085448246,1.0,1.0
human_authored,10s,10,autoencoder,false_data_injection,1,0.1666666666666666,0.065040650406504,0.0935672514619883,1.0,1.0
chatgpt,10s,10,autoencoder,unauthorized_command,2,0.14077272281241765,1.0,0.24378243944636674,1.0,1.0
claude,10s,10,autoencoder,unauthorized_command,1,0.4206257242178447,1.0,0.5921696574225123,1.0,1.0
gemini,10s,10,autoencoder,unauthorized_command,1,0.4617151607963246,1.0,0.6317443687794657,1.0,1.0
grok,10s,10,autoencoder,unauthorized_command,2,0.1222489959839357,1.0,0.2178571428571428,1.0,1.0
human_authored,10s,10,autoencoder,unauthorized_command,1,0.3139896373056995,1.0,0.4779179810725552,1.0,1.0
chatgpt,10s,10,gru,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
claude,10s,10,gru,command_delay,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
grok,10s,10,gru,command_delay,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
human_authored,10s,10,gru,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
chatgpt,10s,10,gru,command_suppression,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
claude,10s,10,gru,command_suppression,1,0.2696356275303643,1.0,0.4247448979591837,1.0,1.0
gemini,10s,10,gru,command_suppression,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
grok,10s,10,gru,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
human_authored,10s,10,gru,command_suppression,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
chatgpt,10s,10,gru,coordinated_campaign,1,0.2869565217391304,1.0,0.4459459459459459,1.0,1.0
grok,10s,10,gru,coordinated_campaign,1,0.9409937888198758,1.0,0.9696,1.0,3.0
human_authored,10s,10,gru,coordinated_campaign,1,0.3343173431734317,1.0,0.5011061946902655,1.0,1.0
chatgpt,10s,10,gru,degradation,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
gemini,10s,10,gru,degradation,2,0.12572614107883814,0.5,0.2009283819628647,0.5,1.0
grok,10s,10,gru,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
human_authored,10s,10,gru,degradation,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
chatgpt,10s,10,gru,false_data_injection,2,0.1067336683417085,1.0,0.19262079831932766,1.0,1.0
claude,10s,10,gru,false_data_injection,4,0.14329058032199804,1.0,0.24866706557295104,1.0,1.0
gemini,10s,10,gru,false_data_injection,1,0.1450236966824644,1.0,0.2533112582781457,1.0,1.0
grok,10s,10,gru,false_data_injection,3,0.11989832820152503,0.6666666666666666,0.20314222188438294,0.6666666666666666,1.0
human_authored,10s,10,gru,false_data_injection,1,0.12,1.0,0.2142857142857142,1.0,1.0
chatgpt,10s,10,gru,unauthorized_command,2,0.1310654655767315,1.0,0.22979970773798475,1.0,1.0
claude,10s,10,gru,unauthorized_command,1,0.2884615384615384,0.9917355371900828,0.4469273743016759,1.0,1.0
gemini,10s,10,gru,unauthorized_command,1,0.4587813620071684,0.6368159203980099,0.5333333333333333,1.0,1.0
grok,10s,10,gru,unauthorized_command,2,0.06656455142231944,0.532258064516129,0.11805194805194799,1.0,1.0
human_authored,10s,10,gru,unauthorized_command,1,0.2514522821576763,1.0,0.4018567639257294,1.0,1.0
chatgpt,10s,10,isolation_forest,command_delay,1,0.1910313901345291,1.0,0.3207831325301205,1.0,1.0
claude,10s,10,isolation_forest,command_delay,1,0.2122270742358078,1.0,0.3501440922190201,1.0,1.0
grok,10s,10,isolation_forest,command_delay,1,0.2323404255319149,1.0,0.3770718232044199,1.0,1.0
