dataset_id,source_bundle,path_role,generator_source,bundle_path,scenario_id,scenario_name,attack_family,raw_attack_family,affected_assets,affected_signals,target_component,target_asset,target_signal,severity,accepted_rejected,repair_applied,repair_origin_status,validation_notes,numeric_magnitude,magnitude_unit,observable_signal_count,additional_target_count,source_generator_bundle,replay_evaluated,replay_detected,replay_latency_seconds,replay_first_detection_time,replay_max_score,replay_mean_score,replay_positive_windows,replay_evaluation_dir,metadata_completeness_ratio,severity_numeric
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_coord_pv83_bess48_evening,Human-authored Coordinated PV83 Curtailment and BESS48 Override,coordinated_campaign,coordinated_multi_asset,"[""bess48"", ""pv83""]","[""bess_bess48_target_kw"", ""pv_pv83_curtailment_frac""]",pv,pv83,curtailment_frac,critical,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,0.8,fraction,6,1,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T18:30:01+00:00,0.04744728908925546,0.013170627897823233,48,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,1.0
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_delay_bess48_target_kw,Human-authored BESS48 Dispatch Delay,command_delay,command_delay,"[""bess48""]","[""bess_bess48_target_kw""]",bess,bess48,target_kw,critical,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,180.0,kW,3,0,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T04:30:01+00:00,0.047691204328163414,0.015110653104289206,56,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,1.0
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_disconnect_bess108_standby,Human-authored BESS108 Standby Forcing,degradation,DER_disconnect,"[""bess108""]","[""bess_bess108_mode_cmd""]",bess,bess108,mode_cmd,low,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,0.0,mode,3,0,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T12:00:01+00:00,0.04764875217400298,0.005158137021142187,16,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,0.25
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_fdi_bus114_voltage_dropout,Human-authored Bus114 Voltage Dropout,false_data_injection,false_data_injection,"[""bus114""]","[""bus_114_v_pu_phase_a""]",measured_layer,bus114,bus_114_v_pu_phase_a,critical,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,1.0,scale,2,0,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T01:10:01+00:00,0.04763760434758521,0.0055873481404283805,16,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,1.0
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_oscillate_c90b_state,Human-authored C90B Oscillatory Switching,unauthorized_command,oscillatory_control,"[""c90b""]","[""capacitor_c90b_state""]",capacitor,c90b,state,critical,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,1.0,state,3,0,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T15:45:01+00:00,0.04766176608667906,0.005045237526167621,16,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,1.0
human_authored_phase3_bundle_v1,additional_heldout_human_authored,extension experiments,human_authored,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,human_suppress_pv60_curtailment,Human-authored PV60 Curtailment Suppression,command_suppression,command_suppression,"[""pv60""]","[""pv_pv60_curtailment_frac""]",pv,pv60,curtailment_frac,low,accepted,False,,Human-authored additional heldout bundle evaluated through the replay path.,0.0,fraction,3,0,outputs\window_size_study\improved_phase3\additional_source\human_authored\benchmark_bundle.json,True,1,1.0,2025-06-01T07:30:01+00:00,0.04764189781038146,0.0054454844093320106,16,outputs\window_size_study\improved_phase3\evaluations\human_authored__human_authored_heldout__human_authored_phase3_bundle_v1,1.0,0.25
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_command_delay_bess48_recharge,Delayed BESS48 Recharge Command,command_delay,command_delay,"[""bess48""]","[""bess_bess48_target_kw""]",bess,bess48,target_kw,high,accepted,False,,Canonical validated attacked bundle.,,kW,3,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T10:00:01+00:00,0.047667815815597744,0.014088448370882502,51,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.75
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_command_delay_creg3a,Delayed CREG3A Voltage-Regulation Command,command_delay,command_delay,"[""creg3a""]","[""regulator_creg3a_vreg""]",regulator,creg3a,vreg,high,accepted,False,,Canonical validated attacked bundle.,124.5,volts,3,0,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T12:00:01+00:00,0.04765186085694057,0.012850918183116091,45,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.75
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_command_suppression_bess108_charge,Suppressed BESS108 Charge Command,command_suppression,command_suppression,"[""bess108""]","[""bess_bess108_target_kw""]",bess,bess108,target_kw,high,accepted,False,,Canonical validated attacked bundle.,,kW,3,0,outputs/attacked/scenario_manifest.json,True,1,13.0,2025-06-01T02:30:13+00:00,0.04767496281073356,0.015199096653653299,61,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,0.75
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical benchmark path,canonical_bundle,outputs\attacked\scenario_manifest.json,scn_coordinated_pv35_bess48_dispatch_disturbance,Coordinated PV35 Curtailment and BESS48 Dispatch Shift,coordinated_campaign,coordinated_campaign,"[""bess48"", ""pv35""]","[""bess_bess48_target_kw"", ""pv_pv35_curtailment_frac""]",pv,pv35,curtailment_frac,critical,accepted,False,,Canonical validated attacked bundle.,0.55,fraction,4,1,outputs/attacked/scenario_manifest.json,True,1,1.0,2025-06-01T15:30:01+00:00,0.04765496973254499,0.016886259104592218,62,outputs\window_size_study\improved_phase3\evaluations\canonical_bundle__canonical_bundle_replay__ieee123_der_research_attacks_13scenario,1.0,1.0
